Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2014-05-05 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Ubunden snø ;Tørre løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-05 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-05-06 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-06 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Sannsynlig  ;
2014-05-07 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-07 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-08 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Sannsynlig  ;
2014-05-08 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-09 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Sannsynlig  ;
2014-05-09 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-10 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-10 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-11 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-11 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-05-12 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-13 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-14 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-15 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-16 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-16 ;112 ;Bardu ;1 ;1 Liten ;1 ; ;Dårlig binding mellom glatt skare og overliggende snø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-17 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-17 ;112 ;Bardu ;1 ;1 Liten ;1 ; ;Dårlig binding mellom glatt skare og overliggende snø ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;
2014-05-18 ;112 ;Bardu ;1 ;1 Liten ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-19 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Sannsynlig  ;
2014-05-19 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte flakskred ;3 - Store ;Naturlig utløst ;Mulig  ;
2014-05-20 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-20 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte flakskred ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-21 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Sannsynlig  ;
2014-05-21 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Opphopning av vann i/over lag i snødekket ;Våte flakskred ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-22 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-22 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Opphopning av vann i/over lag i snødekket ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-23 ;112 ;Bardu ;3 ;3 Betydelig ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Mulig  ;
2014-05-23 ;112 ;Bardu ;3 ;3 Betydelig ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Sannsynlig  ;
2014-05-24 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-24 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-25 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-25 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-26 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-26 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-27 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-27 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-28 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-28 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Naturlig utløst ;Mulig  ;
2014-05-29 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-29 ;112 ;Bardu ;2 ;2 Moderat ;1 ; ;Snødekket gjennomfuktet og ustabilt fra overflaten ;Våte løssnøskred  ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;
2014-05-30 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-05-31 ;112 ;Bardu ;2 ;2 Moderat ;0 ; ;Kantkornet snø under skarelag ;Våte flakskred ;3 - Store ;Naturlig utløst ;Lite sannsynlig  ;
2014-12-03 ;110 ;Senja ;1 ;1 Liten ;1 ;Nysnø ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-04 ;110 ;Senja ;1 ;1 Liten ;1 ;Nysnø ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-05 ;110 ;Senja ;1 ;1 Liten ;1 ;Nysnø ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-06 ;110 ;Senja ;2 ;2 Moderat ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-07 ;110 ;Senja ;2 ;2 Moderat ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Naturlig utløst ;Mulig  ;Noen bratte heng
2014-12-08 ;110 ;Senja ;2 ;2 Moderat ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-09 ;110 ;Senja ;2 ;2 Moderat ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Stor tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-10 ;110 ;Senja ;2 ;2 Moderat ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-11 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Lite sannsynlig  ;Få bratte heng
2014-12-12 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Stor tilleggsbelastning ;Lite sannsynlig  ;Få bratte heng
