Comment;TripRegistrationTime;TripID;GeoHazardTID;ObserverID;IsFinished;TripTypeName;DeviceID;ObsLocationID;ObservationExpectedTime;TripTypeTID;TripFinishedTime
;2015-12-10 10:01:29;696;10;1418;True;Ordinaer ihht. obsavtale;d1ca97ca-ae83-4f80-0d2a-684a0f6bfeab;29160;2015-12-10 14:00:00;20;2015-12-10 10:06:19
Kurstur, ser etter nye fokksnoe problemer.;2015-12-10 10:01:36;697;10;1338;True;Ordinaer ihht. obsavtale;7ca88fa1-0445-4c19-5710-9e7af5c40f20;29161;2015-12-10 16:00:00;20;2015-12-10 11:54:09
Reg obs kurs 4b, obs tur. Skal se etter svakheter i fokksnoeen.;2015-12-10 10:03:18;698;10;759;True;Privat;09d3bdaa-e785-4421-e030-a9316797247a;29162;2015-12-10 15:00:00;60;2015-12-10 12:01:59
;2015-12-10 10:03:58;699;10;1578;True;Tillegg ihht. obsavtale;42c451ef-a110-4ab6-cfdb-61420f8bca7c;29163;2015-12-10 13:00:00;30;2015-12-10 11:54:25
Se etter fokksnoe;2015-12-10 10:06:45;700;10;1418;True;Ordinaer ihht. obsavtale;33b788b2-76b6-4ebc-0d9a-350c16e6c96c;29164;2015-12-10 13:00:00;20;2015-12-10 11:59:18
Ut paa tur for aa finne fokksnoe (det blaaser katter og kaniner);2015-12-10 10:23:18;701;10;740;True;Ansatt;518427eb-118c-4cc2-fdc8-9763dd5f7ff6;29166;2015-12-10 13:00:00;50;2015-12-10 12:17:04
;2015-12-10 10:45:46;702;10;1646;True;Ordinaer ihht. obsavtale;9fdce555-f480-44e1-1b26-23d04ad842aa;29186;2015-12-10 13:00:00;20;2015-12-10 12:51:30
Kurs;2015-12-10 11:32:31;703;10;1083;True;Ordinaer ihht. obsavtale;2f6a91c1-84ea-47c7-6f03-ce96794c17dd;29190;2015-12-10 16:00:00;20;2015-12-10 12:23:47
Obstur Galden, jotunheimen;2015-12-10 12:17:33;704;10;21;True;Ordinaer ihht. obsavtale;d6122a5e-2349-42b0-2a49-2d34affa05db;29206;2015-12-10 15:00:00;20;2015-12-10 13:52:42
Steinskartinden.;2015-12-10 18:25:18;705;10;773;True;Ordinaer ihht. obsavtale;2696a590-8e7d-4954-558f-06826f66c39e;29234;2015-12-10 23:00:00;20;2015-12-10 22:14:50
Stormheimfjellet.;2015-12-11 09:22:07;706;10;741;True;Ansatt;53c7524c-af17-4f67-99e1-0ee76486abb6;29246;2015-12-11 15:00:00;50;2015-12-11 16:10:29
;2015-12-11 09:41:43;707;10;282;True;Ordinaer ihht. obsavtale;4eb29bff-d738-4f4f-daa1-3a939950d07d;29247;2015-12-11 14:00:00;20;2015-12-11 12:19:09
Fagernesfjellet;2015-12-11 09:48:38;708;10;775;True;Ordinaer ihht. obsavtale;73e01598-28c2-4cff-0e40-8d3092db5750;29248;2015-12-11 15:00:00;20;2015-12-11 23:00:00
Drar vestover fra Hemsedal mot bjoeberg. Skal undersoeke hvordan siste dagers vind og snoe har fordelt seg og stabilisert seg.;2015-12-11 10:01:53;709;10;35;True;Ordinaer ihht. obsavtale;0a744abd-ce16-4a60-5ffc-53f4e5401898;29250;2015-12-11 14:00:00;20;2015-12-11 23:00:00
Tur til Smaatinden. Se hva mildvaeret har gjort med snoeen.;2015-12-11 10:02:30;710;10;788;True;Ordinaer ihht. obsavtale;a30f56d4-f4d1-4e47-a8c6-62ebbd415f2c;29251;2015-12-11 14:00:00;20;2015-12-11 12:29:14
;2015-12-11 11:31:05;711;10;60;True;Ordinaer ihht. obsavtale;5a169042-15fe-4893-1c7d-3a8d984a01bf;29266;2015-12-11 13:00:00;20;2015-12-11 14:15:15
;2015-12-11 12:16:28;712;10;24;True;Ordinaer ihht. obsavtale;df4c145f-4f6c-4d06-09ef-2c0640e63c0f;29273;2015-12-11 16:00:00;20;2015-12-11 15:58:55
Obstur til Nordre Nattmaalstuva.;2015-12-12 11:19:21;713;10;580;True;Ordinaer ihht. obsavtale;c218fb6d-d576-4e7b-e9d4-40984adc7dbe;29307;2015-12-12 15:00:00;20;2015-12-12 14:22:30
Olahansen i Dvergsdalsdalen i Joelster. Sjaa etter tegn paa vindtransport og ustabile sjikt i nysnoeen;2015-12-12 12:45:52;714;10;544;True;Ordinaer ihht. obsavtale;9b12ba6e-59ed-4a52-cc7d-3923574c5a60;29311;2015-12-12 17:00:00;20;2015-12-12 16:18:47
Bomfjellet, oertfjell. Opp for aa se hvor hoeyt mildvaeret har gaatt, se paa snoepakken paa 800-900moh, kantkorn utbredelse feks;2015-12-13 09:50:14;715;10;839;True;Ordinaer ihht. obsavtale;598313d9-61de-4b4e-dfd0-b0aa1b485068;29335;2015-12-13 15:00:00;20;2015-12-13 13:49:10
