Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
19.03.18;0;1;Ski;M;Andrefjellet;Tranøy;Troms;151587;;Skred fjernutløst av skiløpr. Ingen tatt. Ingen skadet,
19.03.18;0;1;Ski;M;Bjørnfjell;Narvik;Nord.;151559;;Fjernutløst lite skred. Ingen tatt. Ingen skadet.
19.03.18;0;3;Ski;M;Jomfrudalen;Vågan;Nord.;151592;;Fjernutløst skred. En ført med og delvis begravd, men kom seg ut ved egen hjelp. Ingen skadet.
19.03.18;0;1;Ski;M;Bureb;Tromsø;Troms;151536;;Skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
18.03.18;0;1;Ski;M;Bjøbergdalen;Hemsedal;Busk.;151272;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
18.03.18;0;1;Ski;M;Skogshornrenna;Hemsedal;Busk.;151605;;Skiløperutløst skred. En person ført med. Skadeomfang ukjent.
18.03.18;0;1;Ski offpist;M;Hemsedal skisenter;Hemsedal;Busk.;151606;;Skiløperutløst skred. En tatt. En skadet og sendt i ambulanse.
17.03.18;0;2;Ski;M;Omvikdalen;Kvinnherrad;Hord.;151132;;Skred fjernutløst av gruppe. Ingen skadet.
17.03.18;0;1;Ski;M;Nedrereppi;Lyngen;Troms;151126;;Skred fjernutløst av fjellskiløper. Ingen tatt. Ingen begravet.
17.03.18;0;1;Ski;M;Melderskin;Kvinnherrad;Hord.;151121;;Skiløperutløst skred.En ført med. Ikke begravet. Ikke skadet.
17.03.18;0;1;Ski;M;Sandfjellet;Voss;Hord.;151110;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
17.03.18;0;2;Ski;M;Heimre Fagerdalen;Vang;Oppl.;151175;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
17.03.18;0;1;Ski;M;Nonsfjellet;Oppdal;S-T;151122;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
16.03.18;0;1;Ski;M;Navarsete;Sogndal;S&F;150923;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
16.03.18;0;1;Ski;M;Loftan;Vågan;Nord.;151015;;Skiløperutløst skred. En tatt og delvis begravd. Gravd frem av kamerater.
16.03.18;0;3;Ski;M;Kyrkja;Lom;Oppl.;150908;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
16.03.18;0;1;Ski;M;Nonskiljenuten;Sauda;Roga.;151094;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
16.03.18;0;2;Ski;M;Updalsstølen;Vang;Oppl.;150929;;Lite skred fjernuløst fra rygg av skiløper. Ingen tatt. Ingen skadet.
15.03.18;0;3;Ski;M;Finnheimfjellet;Tromsø;Troms;151042;;Skiløperutløst skred. En fraktet med. Ingen skadet.
14.03.18;0;1;Ski;M;Kolbeindalen;Vågan;Nord.;150554;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. Skredbanen krysser flere skispor.
13.03.18;0;1;Ski;M;Ruten;Hemne;S-T;150272;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
13.03.18;0;1;Ski;M;Grøtdalstinden;Ørsta;M&R;150266;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
13.03.18;0;1;Ski;M;Storfellet;Tromsø;Troms;150188;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
12.03.18;0;1;Ski;M;Fagernesfjellet;Narvik;Nord.;150021;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
11.03.18;0;1;Ski;M;Talstadhesten;Fræna;M&R;149802;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
10.03.18;0;1;Ski;M;Tverrbakktinden;Lyngen;Troms;149738;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
10.03.18;0;1;Ski;M;Valdresflye;Vang;Oppl.;149665;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
09.03.18;0;4;Ski;M;Rottenvikvatnet;Lyngen;Troms;149574;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
07.03.18;0;2;Ski;M;Jomfrutindan;Vågan;Nord.;149387;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
06.03.18;0;4;Ski;M;Grønahorgi;Voss;Hord.;149162;;Fire skiløpere utløste lite skred. Ingen tatt. Ingen skadet.
